filename,religion,religious_practice,lifestyle,social_class,location_hint,education_hint,personality_hint,fashion_style,age_range,bio_hint,confidence
"female_batch4_167.png","Muslim or Hindu","Moderate","Traditional","Middle class","Bangladesh","Graduate","Confident","Traditional","22-26","Warm-hearted and grounded, seeking a genuine connection with shared values and mutual respect.","Medium"
"female_batch4_168.png","Muslim","Conservative","Traditional","Affluent","Could be NRB","Graduate or Postgraduate","Modest","Traditional","22-26","Family-oriented individual valuing tradition and cultural heritage, seeking a like-minded partner for marriage.","High"
"female_batch4_169.png","Muslim","Moderate","Traditional","Middle class","Bangladesh","Graduate","Confident","Traditional","22-26","Simple, family-oriented woman seeking a respectful partner for a meaningful relationship.","Medium"
"female_batch4_170.png","Muslim or Hindu","Moderate","Moderate","Middle class or Upper-middle class","Bangladesh or Likely abroad","Graduate or Postgraduate","Confident or Outgoing","Mixed","22-26","Optimistic and thoughtful individual who enjoys quiet moments by the window with a good outlook on life.","Medium"
"female_batch4_171.png","Muslim","Moderate","Moderate","Middle class","Bangladesh","Graduate","Confident","Mixed","22-26","Warm-hearted and cheerful, enjoying life's simple pleasures and good company.","Medium"
"female_batch4_172.png","Muslim","Moderate","Moderate","Middle class","Bangladesh","Graduate","Confident","Mixed","22-26","Modern yet grounded, looking for someone who values both tradition and personal growth","Medium"
"female_batch4_173.png","Hindu","Conservative","Traditional","Middle class","Bangladesh","Graduate","Modest","Traditional","22-26","Homely girl with traditional values, seeking a caring and respectful life partner","Medium"
"female_batch4_174.png","Hindu","Conservative","Traditional","Middle class","Bangladesh","Graduate","Confident","Traditional","22-26","Grounded woman who values traditions and enjoys peaceful evening walks by the riverside","Medium"
"female_batch4_175.png","Muslim or Hindu","Moderate","Moderate","Middle class or Upper-middle class","Bangladesh or Could be NRB","Graduate or Postgraduate","Confident or Modest","Smart-casual or Mixed","22-26","A friendly and approachable person seeking a meaningful connection with someone who values family and mutual respect.","Medium"
"female_batch4_176.png","Muslim","Moderate","Traditional","Middle class","Bangladesh","Graduate","Confident","Mixed","22-26","Independent woman with traditional values, seeking a respectful partner for a meaningful relationship","Medium"
"female_batch4_177.png","Muslim","Moderate","Moderate","Middle class","Bangladesh","Graduate","Confident","Mixed","22-26","Warm-hearted and family-oriented, seeking a respectful partner for a meaningful relationship","Medium"
"female_batch4_178.png","Unknown","Unknown","Moderate","Middle class","Could be NRB","Graduate","Confident","Traditional","22-26","Modern, thoughtful, and genuine - looking for someone who appreciates both tradition and personal growth","Medium"
"female_batch4_179.png","Hindu","Moderate","Moderate","Middle class","Bangladesh","Graduate","Confident","Mixed","22-26","Modern yet rooted in traditions, looking for someone who values both cultural values and contemporary outlook.","Medium"
"female_batch4_180.png","Muslim","Moderate","Moderate","Middle class or Upper-middle class","Bangladesh or Likely abroad","Graduate or Professional","Confident","Mixed","22-26","Elegant and poised, seeking someone respectful and ambitious for a meaningful relationship.","Medium"
"female_batch4_181.png","Hindu","Moderate","Traditional","Middle class","Bangladesh","Graduate","Confident","Traditional","22-26","Traditional values with modern outlook, seeking a respectful and understanding life partner.","Medium"
"female_batch4_182.png","Hindu","Moderate","Moderate","Upper-middle class","Likely abroad","Graduate","Confident","Mixed","22-26","Cultured and confident professional who blends traditional values with modern sensibilities","Medium"
"female_batch4_183.png","Muslim","Moderate","Moderate","Upper-middle class","Likely abroad","Graduate","Confident","Mixed","22-26","Educated, modern woman who values cultural heritage while embracing contemporary lifestyle","Medium"
"female_batch4_184.png","Unknown","Unknown","Moderate","Middle class","Bangladesh","Graduate","Confident","Smart-casual","22-26","Adventure-loving soul who enjoys exploring nature and spending time outdoors with a warm smile and genuine heart.","Medium"
"female_batch4_185.png","Hindu","Moderate","Traditional","Middle class","Bangladesh","Graduate","Confident","Traditional","22-26","Traditional values with a modern outlook, seeking a compatible life partner","Medium"
"female_batch4_186.png","Muslim","Moderate","Traditional","Middle class","Bangladesh","Graduate","Modest","Modest","22-26","Homebody who enjoys quiet moments in nature and values simplicity and grace","Medium"
"female_batch4_187.png","Muslim","Moderate","Moderate","Middle class","Bangladesh","Graduate","Confident","Smart-casual","22-26","Confident young professional with a warm personality, looking for someone genuine and respectful","Medium"
"female_batch4_188.png","Hindu","Conservative","Traditional","Middle class","Bangladesh","Graduate","Confident","Traditional","22-26","Proud of my cultural roots, seeking a respectful partner who values tradition and family values.","Medium"
"female_batch4_189.png","Hindu","Conservative","Traditional","Middle class","Bangladesh","Graduate","Confident","Traditional","22-26","Bengali woman who values tradition and family, looking for a respectful partner to build a meaningful life together.","High"
"female_batch4_190.png","Unknown","Unknown","Moderate","Upper-middle class","Likely abroad","Graduate or Postgraduate","Confident","Smart-casual","26-30","Professional woman with modern sensibilities, seeking a partner who values career growth and urban lifestyle.","Medium"
"female_batch4_191.png","Hindu","Conservative","Traditional","Middle class","Bangladesh","Graduate","Confident","Traditional","22-26","Proud of my cultural roots, looking for someone who values family and tradition.","Medium"
"female_batch4_192.png","Unknown","Moderate","Moderate","Middle class","Bangladesh","Graduate","Modest","Mixed","22-26","Thoughtful and grounded individual seeking a meaningful connection with shared values.","Medium"
"female_batch4_193.png","Hindu","Moderate","Moderate","Middle class","Bangladesh","Graduate","Confident","Traditional","22-26","Culturally rooted, confident woman seeking a compatible partner who values tradition and mutual respect.","Medium"
"female_batch4_194.png","Hindu","Conservative","Traditional","Middle class","Bangladesh","Graduate","Modest","Traditional","22-26","Simple, homely girl from Bangladesh seeking a genuine life partner who values tradition and family values.","Medium"
"female_batch4_195.png","Muslim","Moderate","Moderate","Upper-middle class","Likely abroad or NRB","Graduate or Postgraduate","Confident","Smart-casual","26-30","Confident, well-dressed professional who enjoys attending social events and celebrations.","Medium"
"female_batch4_196.png","Hindu","Moderate","Traditional","Upper-middle class","Bangladesh","Graduate","Confident","Traditional","22-26","Cultured woman who values tradition and family, enjoys festive celebrations and appreciates elegant aesthetics.","High"
"female_batch4_197.png","Unknown","Unknown","Moderate","Middle class or Upper-middle class","Likely abroad or Could be NRB","Graduate or Postgraduate","Confident or Outgoing","Smart-casual or Western","22-26","Adventurous traveler who loves exploring new cultures and making meaningful connections.","Medium"
"female_batch4_198.png","Hindu","Conservative","Traditional","Middle class","Bangladesh","Graduate","Modest","Traditional","22-26","Family-oriented, cultured woman who values traditional values and customs","Medium"
"female_batch4_199.png","Unknown","Moderate","Traditional","Middle class","Bangladesh","Graduate","Modest","Traditional","22-26","Simple, family-oriented woman seeking a respectful partner for a meaningful relationship.","Medium"
"female_batch4_200.png","Hindu","Moderate","Moderate","Middle class","Bangladesh or Likely abroad","Graduate or Postgraduate","Confident","Mixed","22-26","Thoughtful individual who enjoys blending traditional and contemporary values with a love for learning and self-expression.","Medium"
"female_batch4_201.png","Muslim","Moderate","Moderate","Middle class","Bangladesh","Graduate","Confident","Smart-casual","22-26","Music lover with a passion for learning and connecting with meaningful people","Medium"
"female_batch4_202.png","Hindu","Moderate","Moderate","Middle class","Bangladesh","Graduate","Confident","Traditional","22-26","Educated professional with traditional values, seeking a respectful partner for a meaningful relationship","Medium"
"female_batch4_203.png","Hindu","Conservative","Traditional","Middle class","Bangladesh","School level or Graduate","Modest","Traditional","22-26","Bengali girl from Bangladesh, values family and tradition, enjoys simple pleasures of life","Medium"
"female_batch4_204.png","Muslim","Moderate","Traditional","Upper-middle class","Bangladesh or Likely abroad","Graduate","Confident","Traditional","22-26","Educated, traditional values with modern outlook, enjoys cultural events and family time","Medium"
"female_batch4_205.png","Unknown","Unknown","Moderate","Middle class","Likely abroad","Graduate","Confident","Smart-casual","22-26","Adventure seeker who loves exploring new places and experiencing different cultures.","Medium"
"female_batch4_206.png","Muslim","Conservative","Traditional","Middle class","Bangladesh","Graduate","Confident","Traditional","22-26","Family-oriented woman seeking a caring partner for a meaningful relationship","High"
"female_batch4_207.png","Unknown","Moderate or Unknown","Moderate","Middle class or Upper-middle class","Could be NRB or Bangladesh","Graduate or Postgraduate","Modest or Introverted","Smart-casual or Mixed","22-26","Looking for a sincere, family-oriented partner who values mutual respect and understanding.","Medium"
"female_batch4_208.png","Muslim","Conservative","Traditional","Middle class","Bangladesh","Graduate","Modest","Traditional","22-26","Family-oriented woman seeking a respectful partner for a meaningful relationship","Medium"
"female_batch4_209.png","Muslim","Moderate","Moderate","Upper-middle class","Likely abroad or Could be NRB","Graduate or Postgraduate","Confident","Smart-casual","22-26","Enjoys fine dining and elegant evenings out; looking for someone who appreciates good conversation and quality time.","High"
"female_batch4_210.png","Hindu","Moderate","Traditional","Upper-middle class","Bangladesh","Graduate","Confident","Traditional","22-26","Culturally rooted woman who enjoys celebrations and values family traditions","High"
"female_batch4_211.png","Unknown","Unknown","Moderate","Middle class","Could be NRB","Graduate","Confident","Smart-casual","22-26","Enjoys leisurely moments at cozy cafes with good company and refreshing drinks","Medium"
"female_batch4_212.png","Muslim","Conservative","Traditional","Upper-middle class","Likely abroad","Graduate or Postgraduate","Confident","Modest","22-26","Cultured and well-traveled, appreciating heritage and architecture while maintaining traditional values.","Medium"
"female_batch4_213.png","Unknown","Unknown","Moderate","Middle class","Bangladesh or Could be NRB","Graduate","Confident","Smart-casual","22-26","Adventure-loving, independent spirit with a passion for outdoor activities and casual lifestyle","Medium"
"female_batch4_214.png","Hindu","Conservative","Traditional","Middle class","Bangladesh","Graduate","Modest","Traditional","22-26","Traditional woman who values family and cultural values, looking for a compatible life partner.","Medium"
"female_batch4_215.png","Unknown","Unknown","Moderate","Upper-middle class","Likely abroad","Graduate or Postgraduate","Confident","Smart-casual","22-26","Professional and approachable individual with a love for good food and casual outings","Medium"
"female_batch4_216.png","Unknown","Unknown","Moderate","Middle class","Bangladesh","Graduate","Modest","Smart-casual","22-26","Simple and genuine girl who enjoys everyday moments and believes in honest connections","Medium"
"female_batch4_217.png","Muslim or Hindu","Moderate","Moderate","Middle class","Bangladesh","Graduate","Confident","Smart-casual","22-26","Simple, straightforward professional looking for a sincere life partner","Medium"
"female_batch4_218.png","Muslim","Moderate","Moderate","Middle class","Bangladesh or Likely abroad","Graduate or Professional","Confident","Mixed","22-26","Confident professional woman seeking someone with shared values and genuine connection.","Medium"
"female_batch4_219.png","Hindu","Moderate","Moderate","Middle class","Bangladesh","Graduate","Confident","Mixed","22-26","Cheerful and well-groomed, enjoys celebrations and social gatherings with family and friends","Medium"
"female_batch4_220.png","Hindu","Moderate","Moderate","Upper-middle class","Bangladesh","Graduate","Confident","Traditional","22-26","Confident professional with strong communication skills and modern outlook, grounded in cultural values","Medium"
"female_batch4_221.png","Unknown","Moderate or Liberal","Moderate or Western-influenced","Middle class or Upper-middle class","Bangladesh or Likely abroad","Graduate or Professional","Confident or Outgoing","Smart-casual or Mixed","22-26","Adventurous and fashionable young woman who enjoys outdoor activities and modern style","Medium"
"female_batch4_222.png","Muslim","Moderate","Moderate","Middle class","Bangladesh","Graduate","Confident","Smart-casual","22-26","Simple living, big dreams - looking for someone genuine and kind-hearted.","High"
"female_batch4_223.png","Muslim","Moderate","Moderate","Middle class","Bangladesh","Graduate","Confident","Traditional","22-26","Exploring historical sites and cherishing cultural heritage while embracing modern values","Medium"
"female_batch4_224.png","Unknown","Unknown","Western-influenced","Middle class","Likely abroad","Graduate or Postgraduate","Confident","Western","22-26","Creative soul with a playful spirit, exploring life one moment at a time","Medium"
"female_batch4_225.png","Muslim","Moderate","Traditional","Middle class","Bangladesh","Graduate","Modest","Modest","22-26","Simple, genuine person who values family and tradition, seeking a respectful life partner.","Medium"
"female_batch4_226.png","Muslim","Moderate","Moderate","Middle class","Could be NRB","Graduate","Confident","Smart-casual","22-26","Friendly and approachable professional who enjoys traveling and meeting new people.","Medium"
"female_batch4_227.png","Muslim","Conservative","Traditional","Upper-middle class","Bangladesh","Graduate","Modest","Traditional","22-26","Family-oriented, values tradition and culture, seeking a respectful partner for a committed relationship","Medium"
"female_batch4_228.png","Muslim","Moderate","Moderate","Middle class","Bangladesh or Likely abroad","Graduate","Confident","Smart-casual","22-26","Fun-loving, educated woman who enjoys celebrations and meaningful connections","Medium"
"female_batch4_229.png","Muslim","Moderate","Moderate","Middle class","Bangladesh","Graduate","Confident","Mixed","26-30","Warm-hearted and grounded, seeking a genuine connection with someone who values family and understands the balance between tradition and modernity.","Medium"
"female_batch4_230.png","Hindu","Moderate","Moderate","Middle class","Bangladesh","Graduate","Confident","Traditional","22-26","Cheerful and grounded, seeking a genuine connection with someone who values family and tradition.","Medium"
"female_batch4_231.png","Hindu","Moderate","Moderate","Upper-middle class","Bangladesh","Graduate","Confident","Traditional","22-26","Enjoys peaceful moments and traditional elegance; looking for someone who appreciates cultural values.","High"
"female_batch4_232.png","Unknown","Unknown","Moderate","Middle class or Upper-middle class","Could be NRB or Likely abroad","Graduate or Postgraduate","Confident","Smart-casual","22-26","Adventure lover who enjoys exploring nature and discovering beautiful places.","Medium"
"female_batch4_233.png","Hindu","Moderate","Traditional","Middle class","Bangladesh","Graduate","Confident","Traditional","22-26","Traditional values with modern outlook, seeking a partner who respects cultural heritage","Medium"
"female_batch4_234.png","Hindu","Conservative","Traditional","Middle class","Bangladesh","Graduate","Confident","Traditional","22-26","Traditional values with modern outlook, enjoys cultural heritage and family","Medium"
"female_batch4_235.png","Muslim","Conservative","Traditional","Middle class","Bangladesh","School level","Modest","Traditional","18-22","Simple, family-oriented girl seeking a respectful life partner","Medium"
"female_batch4_236.png","Hindu","Moderate","Traditional","Middle class","Bangladesh","Graduate","Confident","Traditional","22-26","Simple, traditional Hindu girl seeking a caring and respectful life partner.","Medium"
"female_batch4_237.png","Muslim","Conservative","Traditional","Upper-middle class","Bangladesh","Graduate","Confident","Traditional","22-26","Family-oriented woman who values tradition and cultural heritage, seeking a respectful partner for a meaningful relationship.","High"
"female_batch4_238.png","Unknown","Moderate or Unknown","Moderate","Middle class or Upper-middle class","Bangladesh or Could be NRB","Graduate or Postgraduate","Introverted or Modest","Smart-casual or Mixed","22-26","Thoughtful and studious individual who enjoys simple pleasures and values meaningful conversations.","Medium"
"female_batch4_239.png","Hindu","Conservative","Traditional","Middle class","Bangladesh","Graduate","Modest","Traditional","22-26","Traditional values, seeking a respectful partner for a meaningful relationship","Medium"
"female_batch4_240.png","Muslim","Conservative","Traditional","Upper-middle class","Bangladesh or Could be NRB","Graduate or Postgraduate","Confident","Traditional","22-26","Family-oriented woman who values traditions and seeks a respectful partner for a meaningful relationship.","High"
"female_batch4_241.png","Muslim","Moderate","Traditional","Middle class","Bangladesh","Graduate","Modest","Traditional","22-26","Caring and family-oriented woman seeking a respectful life partner","Medium"
"female_batch4_242.png","Hindu","Moderate","Traditional","Middle class","Bangladesh","Graduate","Confident","Traditional","26-30","Grounded and educated woman seeking a genuine partner who values tradition and family values.","Medium"
"female_batch4_243.png","Hindu","Moderate","Traditional","Upper-middle class","Bangladesh or NRB","Graduate or Postgraduate","Confident","Traditional","22-26","Culturally rooted, elegant woman who appreciates traditional values and family-oriented lifestyle.","High"
